time,open,high,low,close,tick_volume,spread,real_volume
2014-07-28,1.9846599999999999,1.99082,1.9834800000000001,1.98652,31565,31,23356419000
2014-07-29,1.98648,1.99613,1.9847000000000001,1.9918200000000001,43226,34,30326767000
2014-07-30,1.9918200000000001,1.99655,1.9876399999999999,1.9912999999999998,70196,6,30051125000
2014-07-31,1.9914,1.99298,1.98505,1.9859,75571,4,0
2014-08-01,1.9857,1.9889299999999999,1.97416,1.9754,79450,2,0
2014-08-04,1.9777,1.97949,1.97375,1.97775,62817,28,0
2014-08-05,1.9777200000000001,1.9952999999999999,1.9751699999999999,1.99395,75097,28,0
2014-08-06,1.99373,2.00281,1.98475,1.98725,77227,28,0
2014-08-07,1.98715,1.99265,1.98289,1.9849700000000001,75467,28,0
2014-08-08,1.98525,1.99298,1.97881,1.98176,76216,28,0
2014-08-11,1.9795099999999999,1.98505,1.97938,1.9839,60580,31,0
2014-08-12,1.98415,1.99333,1.9831400000000001,1.99265,69209,28,0
2014-08-13,1.99275,1.99741,1.97084,1.97265,76167,28,0
2014-08-14,1.97253,1.97356,1.96015,1.9644599999999999,71871,28,0
2014-08-15,1.96456,1.9700600000000001,1.9628999999999999,1.96631,68755,28,0
2014-08-18,1.9706000000000001,1.97533,1.96668,1.97242,61683,28,0
2014-08-19,1.9723600000000001,1.98395,1.96481,1.97276,67504,28,0
2014-08-20,1.9727299999999999,1.9846,1.9698799999999999,1.98135,73153,28,0
2014-08-21,1.98157,1.98593,1.9717,1.97221,59243,28,0
2014-08-22,1.9721600000000001,1.97668,1.9678200000000001,1.97052,52763,28,0
2014-08-25,1.9701499999999998,1.98793,1.96905,1.98658,66857,28,0
2014-08-26,1.98665,1.99325,1.98411,1.9842499999999998,75806,28,0
2014-08-27,1.98415,1.9857399999999998,1.97554,1.97893,79778,28,0
2014-08-28,1.97915,1.98146,1.9741,1.97803,78043,28,0
2014-08-29,1.9781499999999999,1.98605,1.9771,1.98471,74485,28,0
2014-09-01,1.9862600000000001,1.9872800000000002,1.98007,1.98193,63227,28,0
2014-09-02,1.98193,1.9893999999999998,1.9794,1.9798499999999999,81226,28,0
2014-09-03,1.97965,1.98491,1.97543,1.9762300000000002,80413,28,0
2014-09-04,1.97635,1.97906,1.96495,1.9655399999999998,78917,28,0
2014-09-05,1.9653800000000001,1.97089,1.95601,1.9593500000000001,88659,28,0
2014-09-08,1.94551,1.9525700000000001,1.93615,1.94608,96937,28,0
2014-09-09,1.94615,1.95667,1.94287,1.95305,94881,28,0
2014-09-10,1.95285,1.97251,1.95035,1.96935,102675,28,0
2014-09-11,1.9695,1.9888,1.9695,1.98515,115153,28,0
2014-09-12,1.98494,1.9966,1.9825,1.99565,99935,28,0
2014-09-15,1.99615,1.99939,1.98455,1.98455,96898,28,0
2014-09-16,1.98495,1.99031,1.9797500000000001,1.9836,105911,28,0
2014-09-17,1.9832999999999998,2.01318,1.9821499999999999,2.00882,105533,28,0
2014-09-18,2.00909,2.02102,2.00379,2.01075,107976,28,0
2014-09-19,2.0106,2.03344,2.00165,2.00401,132637,28,0
2014-09-22,2.00305,2.01705,1.99647,2.01425,102283,28,0
2014-09-23,2.01415,2.03742,2.00668,2.03465,110754,28,0
2014-09-24,2.03495,2.0362,2.02067,2.0228,102569,28,0
2014-09-25,2.02239,2.06007,2.0209799999999998,2.05843,121466,28,0
2014-09-26,2.0579,2.06935,2.05186,2.06471,107412,28,0
2014-09-29,2.06326,2.10545,2.0598,2.09129,121387,28,0
2014-09-30,2.09169,2.09537,2.07535,2.07577,108519,28,0
2014-10-01,2.07581,2.08593,2.06627,2.07809,119565,28,0
2014-10-02,2.07775,2.0834799999999998,2.03912,2.04235,122827,28,0
2014-10-03,2.04245,2.06186,2.04033,2.0577,102835,28,0
2014-10-06,2.05446,2.06777,2.04527,2.05021,105872,28,0
2014-10-07,2.05065,2.05964,2.04564,2.05415,108759,28,0
2014-10-08,2.05416,2.06277,2.04212,2.04451,139299,28,0
2014-10-09,2.04447,2.05316,2.03193,2.04818,155396,18,0
2014-10-10,2.04849,2.05805,2.04401,2.0562,130543,28,0
2014-10-13,2.05417,2.06394,2.03456,2.03705,124400,18,0
2014-10-14,2.03695,2.04437,2.02193,2.02735,122342,28,0
2014-10-15,2.02734,2.03639,1.9973100000000001,2.00475,132660,28,0
2014-10-16,2.005,2.0271,1.9975100000000001,2.02183,135780,28,0
2014-10-17,2.0222,2.03975,2.01785,2.03091,115483,28,0
2014-10-20,2.03154,2.03224,2.02275,2.02824,107589,18,0
2014-10-21,2.02825,2.03038,2.01365,2.02364,114166,28,0
2014-10-22,2.0233,2.02671,2.00816,2.02346,125047,18,0
2014-10-23,2.02345,2.0523,2.02296,2.04838,155510,18,0
2014-10-24,2.04825,2.05423,2.03929,2.0475,100789,28,0
2014-10-27,2.048,2.05037,2.03882,2.04234,90449,18,0
2014-10-28,2.04227,2.04435,2.03245,2.03573,71047,18,0
2014-10-29,2.03572,2.05894,2.02422,2.04945,136516,18,0
2014-10-30,2.04943,2.05697,2.03581,2.03925,160195,34,0
2014-10-31,2.03928,2.05681,2.02887,2.05157,155392,37,0
2014-11-03,2.05339,2.07361,2.0504,2.06815,159353,35,0
2014-11-04,2.06815,2.07077,2.04743,2.048,153695,36,0
2014-11-05,2.04799,2.07442,2.04049,2.06604,161476,32,0
2014-11-06,2.06605,2.0809,2.0534,2.05789,164821,38,0
2014-11-07,2.0579,2.06536,2.04258,2.04609,155891,18,0
2014-11-10,2.0424,2.04715,2.03252,2.04373,140746,35,0
2014-11-11,2.04377,2.05313,2.03224,2.03788,146353,36,0
2014-11-12,2.03793,2.04041,2.00041,2.00184,161492,36,0
2014-11-13,2.00185,2.00977,1.98719,1.99254,140857,30,0
2014-11-14,1.9925199999999998,1.99871,1.97506,1.98055,152868,39,0
2014-11-17,1.9719,1.97837,1.9701499999999998,1.97629,142931,31,0
2014-11-18,1.9763,1.97662,1.9616799999999999,1.97245,134854,32,0
2014-11-19,1.9724599999999999,1.99743,1.97113,1.99626,147325,18,0
2014-11-20,1.99628,2.00276,1.9914800000000001,1.99349,149435,37,0
2014-11-21,1.99352,1.9963,1.97255,1.98489,147071,29,0
2014-11-24,1.98282,2.00038,1.97911,1.9970400000000001,131415,18,0
2014-11-25,1.99705,2.01641,1.99535,2.01043,152835,34,0
2014-11-26,2.01045,2.01596,2.00015,2.0052,140470,37,0
2014-11-27,2.00518,2.00755,1.99369,1.99947,136437,38,0
2014-11-28,1.9995,2.00653,1.9860600000000002,1.99431,146302,35,0
2014-12-01,2.00163,2.00581,1.99054,1.99911,147478,40,0
2014-12-02,1.99912,2.00873,1.99315,2.00268,140579,38,0
2014-12-03,2.00266,2.02738,2.00227,2.0208,145206,35,0
2014-12-04,2.02081,2.0285,2.00876,2.01304,146601,31,0
2014-12-05,2.01305,2.02831,2.01056,2.01975,145077,18,0
2014-12-08,2.02185,2.04604,2.02091,2.04467,156936,37,0
2014-12-09,2.04465,2.05378,2.02238,2.03886,169445,39,0
2014-12-10,2.03885,2.0443,2.00592,2.01052,162397,29,0
2014-12-11,2.01053,2.01568,1.99988,2.01156,168310,34,0
2014-12-12,2.01159,2.02537,2.00508,2.02,156944,42,0
2014-12-15,2.02148,2.03145,2.01428,2.01837,165585,33,0
2014-12-16,2.01837,2.02425,2.00701,2.01891,173795,41,0
2014-12-17,2.01888,2.03833,2.01099,2.02061,172048,38,0
2014-12-18,2.02053,2.02751,2.00996,2.01753,157717,40,0
2014-12-19,2.01751,2.01902,2.00762,2.01642,146756,41,0
2014-12-22,2.01584,2.02545,2.00999,2.01648,127556,39,0
2014-12-23,2.01648,2.0185,2.00296,2.0126,130490,40,0
2014-12-24,2.01261,2.01565,2.00658,2.01193,94668,45,0
2014-12-26,2.00889,2.0097,2.00237,2.00378,64983,47,0
2014-12-29,2.00625,2.00869,1.99052,1.99179,128502,38,0
2014-12-30,1.99179,1.99671,1.9823300000000001,1.98679,127908,43,0
2014-12-31,1.98678,1.99884,1.9832999999999998,1.9983499999999998,104377,42,0
2015-01-02,2.00333,2.00593,1.98841,1.9896099999999999,100624,35,0
2015-01-05,1.98936,2.00592,1.97377,1.98336,167984,40,0
2015-01-06,1.98335,1.98505,1.9426,1.95156,160274,38,0
2015-01-07,1.9515799999999999,1.95526,1.93974,1.9407999999999999,161456,33,0
2015-01-08,1.94083,1.9445000000000001,1.92476,1.9279600000000001,147587,36,0
2015-01-09,1.92795,1.94011,1.9238300000000002,1.9341599999999999,150821,29,0
2015-01-12,1.9332,1.95552,1.9282,1.94868,153055,28,0
2015-01-13,1.9486599999999998,1.9657,1.94333,1.95852,170531,36,0
2015-01-14,1.95853,1.9738,1.95744,1.97326,181008,37,0
2015-01-15,1.97336,1.9768599999999998,1.9326699999999999,1.9398,194888,37,0
2015-01-16,1.93981,1.95316,1.93243,1.9445000000000001,190813,37,0
2015-01-19,1.94306,1.95112,1.9380199999999999,1.94129,126283,26,0
2015-01-20,1.9413,1.98557,1.93614,1.9818500000000001,153493,27,0
2015-01-21,1.98183,2.00505,1.96151,2.00422,162565,29,0
2015-01-22,2.00423,2.01444,1.99036,1.99999,171471,30,0
2015-01-23,1.9999799999999999,2.01542,1.99379,2.01067,171591,39,0
2015-01-26,2.01729,2.03903,2.01054,2.02969,149514,32,0
2015-01-27,2.02967,2.04236,2.02447,2.03857,150003,32,0
2015-01-28,2.0386,2.0691,2.0263,2.06815,164080,30,0
2015-01-29,2.06814,2.08182,2.06091,2.07299,160464,32,0
2015-01-30,2.07298,2.08638,2.06603,2.07425,149160,26,0
2015-02-02,2.08014,2.08148,2.05456,2.0579,149107,26,0
2015-02-03,2.05791,2.09327,2.0423,2.05982,163805,35,0
2015-02-04,2.05988,2.07635,2.03514,2.06001,163832,29,0
2015-02-05,2.05998,2.07544,2.05451,2.07176,169233,34,0
2015-02-06,2.07178,2.08074,2.05907,2.07007,176835,22,0
2015-02-09,2.0689,2.07526,2.04541,2.05257,208338,18,0
2015-02-10,2.05257,2.06318,2.04722,2.05982,218934,26,0
2015-02-11,2.05983,2.07271,2.04941,2.06771,214572,28,0
2015-02-12,2.0672,2.08471,2.05446,2.07099,278827,13,0
2015-02-13,2.07097,2.07443,2.05969,2.0641,236481,17,0
2015-02-16,2.06058,2.06159,2.04335,2.04722,236852,12,0
2015-02-17,2.04738,2.05202,2.03174,2.03507,233734,30,0
2015-02-18,2.03537,2.05533,2.03359,2.04513,232835,9,0
2015-02-19,2.04504,2.0574,2.04017,2.04962,231560,22,0
2015-02-20,2.04958,2.05153,2.03411,2.04573,237580,9,0
2015-02-23,2.04465,2.05663,2.03993,2.05352,222650,23,0
2015-02-24,2.05365,2.07689,2.0501,2.06202,247150,30,0
2015-02-25,2.06201,2.06666,2.04809,2.05432,240385,19,0
2015-02-26,2.05433,2.05857,2.03883,2.04418,244988,9,0
2015-02-27,2.04419,2.04933,2.03563,2.03986,240523,29,0
2015-03-02,2.04042,2.04924,2.03872,2.04493,221688,13,0
2015-03-03,2.04518,2.04677,2.03056,2.03382,237146,9,0
2015-03-04,2.0338,2.03585,2.00538,2.01045,248967,10,0
2015-03-05,2.01046,2.04125,2.00847,2.03523,242255,25,0
2015-03-06,2.03552,2.04688,2.02216,2.04162,247364,9,0
2015-03-09,2.0389,2.06132,2.0389,2.05643,249453,12,0
2015-03-10,2.05668,2.07817,2.05497,2.06951,309415,18,0
2015-03-11,2.06947,2.08339,2.0433,2.0506,338749,10,0
2015-03-12,2.05067,2.05238,2.01054,2.0144,315595,10,0
2015-03-13,2.0144,2.02693,2.00627,2.00875,237977,9,0
2015-03-16,2.01061,2.01597,1.99997,2.01032,153451,12,0
2015-03-17,2.01047,2.02006,1.99979,2.01364,144993,9,0
2015-03-18,2.01391,2.02694,1.98428,2.0015,190080,11,0
2015-03-19,2.00149,2.01298,1.98797,1.98888,167299,13,0
2015-03-20,1.98901,1.99031,1.96991,1.97533,205429,17,0
2015-03-23,1.97197,1.97816,1.94893,1.95296,210913,9,0
2015-03-24,1.9531100000000001,1.95713,1.9357600000000001,1.94165,195283,9,0
2015-03-25,1.9417,1.9586000000000001,1.93994,1.95549,189921,21,0
2015-03-26,1.9553099999999999,1.96515,1.9493200000000002,1.95453,209352,22,0
2015-03-27,1.95452,1.97066,1.95365,1.96509,205655,22,0
2015-03-30,1.9693800000000001,1.97549,1.96212,1.97336,183079,0,0
2015-03-31,1.97326,1.98828,1.9699,1.98231,130507,11,0
